2015 rank,City,State,2015 estimate,2014 land area(sq mi),2014 land area(km2),latitude,longitude,id
219,Murfreesboro,Tennessee,126118,55.3,143.3,35.8522,86.4161,47
220,Hartford,Connecticut,124006,17.4,45,41.766,72.6833,9
221,Athens,Georgia,122604,116.4,301.4,33.9496,83.3701,13
222,Victorville,California,122225,73.2,189.5,34.5277,117.3536,6
223,Abilene,Texas,121721,106.8,276.6,32.4545,99.7381,48
224,Vallejo,California,121253,30.7,79.4,38.1079,122.2639,6
225,Berkeley,California,120972,10.5,27.1,37.8667,122.2991,6
226,Norman,Oklahoma,120284,178.8,463,35.22,97.44,40
227,Allentown,Pennsylvania,120207,17.5,45.4,40.594,75.4782,42
228,Evansville,Indiana,119943,44.2,114.4,37.9877,87.5347,18
229,Columbia,Missouri,119108,63.1,163.4,38.9479,92.3261,29
230,Odessa,Texas,118968,42,108.7,31.8804,102.3434,48
231,Fargo,North Dakota,118523,48.8,126.4,46.8652,96.829,38
232,Beaumont,Texas,118129,82.8,214.5,30.0843,94.1458,48
233,Independence,Missouri,117255,77.6,200.9,39.0853,94.3513,29
234,Ann Arbor,Michigan,117070,27.8,72.1,42.2756,83.7313,26
235,El Monte,California,116732,9.6,24.8,34.0746,118.0291,6
236,Springfield,Illinois,116565,59.5,154.1,39.7639,89.6708,17
237,Round Rock,Texas,115997,34.1,88.4,30.5237,97.6674,48
238,Wilmington,North Carolina,115933,51.5,133.4,34.2092,77.8858,37
239,Arvada,Colorado,115368,35.1,91,39.8097,105.1066,8
240,Provo,Utah,115264,41.7,107.9,40.2453,111.6448,49
241,Peoria,Illinois,115070,48,124.3,40.7523,89.6171,17
242,Lansing,Michigan,115056,36,93.4,42.7098,84.5562,26
243,Downey,California,114219,12.4,32.1,33.9382,118.1309,6
244,Carlsbad,California,113453,37.7,97.7,33.1239,117.2828,6
245,Costa Mesa,California,113204,15.7,40.5,33.6659,117.9123,6
246,Miami Gardens,Florida,113187,18.2,47.2,25.9489,80.2436,12
247,Westminster,Colorado,113130,31.6,81.7,39.8822,105.0644,8
248,Clearwater,Florida,113003,25.6,66.2,27.9795,82.7663,12
249,Fairfield,California,112970,37.4,96.8,38.2568,122.0397,6
250,Rochester,Minnesota,112225,54.6,141.4,44.0154,92.4772,27
251,Elgin,Illinois,112111,37.2,96.3,42.0396,88.3217,17
252,Temecula,California,112011,30.2,78.1,33.5019,117.1246,6
253,West Jordan,Utah,111946,32.5,84.1,40.6023,112.001,49
254,Inglewood,California,111666,9.1,23.5,33.9561,118.3443,6
255,Richardson,Texas,110815,28.6,74,32.9723,96.7081,48
256,Lowell,Massachusetts,110699,13.6,35.2,42.6389,71.3221,25
257,Gresham,Oregon,110553,23.2,60.1,45.5023,122.4416,41
258,Antioch,California,110542,28.3,73.4,37.9775,121.7976,6
259,Cambridge,Massachusetts,110402,6.4,16.5,42.376,71.1183,25
260,High Point,North Carolina,110268,53.8,139.3,35.9855,79.9902,37
